Rank,Nation,Gold,Silver,Bronze,Year
8,Norway,1,3,6,1980
9,Netherlands,1,2,1,1980
10,Switzerland,1,1,3,1980
11,Great Britain,1,0,0,1980
12,West Germany,0,2,3,1980
13,Italy,0,2,0,1980
14,Canada,0,1,1,1980
15,Hungary,0,1,0,1980
Japan,0,1,0,1,1980
17,Bulgaria,0,0,1,1980
Czechoslovakia,0,0,1,1,1980
France,0,0,1,1,1980
Totals (19 entries),38,39,38,115,1980
1,East Germany,9,9,6,1984
2,Soviet Union,6,10,9,1984
3,United States,4,4,0,1984
4,Finland,4,3,6,1984
5,Sweden,4,2,2,1984
6,Norway,3,2,4,1984
7,Switzerland,2,2,1,1984
8,Canada,2,1,1,1984
West Germany,2,1,1,4,1984
10,Italy,2,0,0,1984
11,Great Britain,1,0,0,1984
12,Czechoslovakia,0,2,4,1984
13,France,0,1,2,1984
14,Japan,0,1,0,1984
Yugoslavia*,0,1,0,1,1984
16,Liechtenstein,0,0,2,1984
17,Austria,0,0,1,1984
Totals (17 entries),39,39,39,117,1984
1,Soviet Union,11,9,9,1988
2,East Germany,9,10,6,1988
3,Switzerland,5,5,5,1988
4,Finland,4,1,2,1988
5,Sweden,4,0,2,1988
6,Austria,3,5,2,1988
7,Netherlands,3,2,2,1988
8,West Germany,2,4,2,1988
9,United States,2,1,3,1988
10,Italy,2,1,2,1988
11,France,1,0,1,1988
12,Norway,0,3,2,1988
13,Canada,0,2,3,1988
14,Yugoslavia,0,2,1,1988
15,Czechoslovakia,0,1,2,1988
16,Japan,0,0,1,1988
Liechtenstein,0,0,1,1,1988
Totals (17 entries),46,46,46,138,1988
1,Germany,10,10,6,1992
2,Unified Team,9,6,8,1992
3,Norway,9,6,5,1992
4,Austria,6,7,8,1992
5,United States,5,4,2,1992
6,Italy,4,6,4,1992
7,France,3,5,1,1992
8,Finland,3,1,3,1992
9,Canada,2,3,2,1992
10,South Korea,2,1,1,1992
11,Japan,1,2,4,1992
12,Netherlands,1,1,2,1992
13,Sweden,1,0,3,1992
14,Switzerland,1,0,2,1992
15,China,0,3,0,1992
16,Luxembourg,0,2,0,1992
17,New Zealand,0,1,0,1992
18,Czechoslovakia,0,0,3,1992
19,North Korea,0,0,1,1992
Spain,0,0,1,1,1992
Totals (20 entries),57,58,56,171,1992
1,Russia,11,8,4,1994
2,Norway,10,11,5,1994
3,Germany,9,7,8,1994
4,Italy,7,5,8,1994
5,United States,6,5,2,1994
6,South Korea,4,1,1,1994
7,Canada,3,6,4,1994
8,Switzerland,3,4,2,1994
9,Austria,2,3,4,1994
10,Sweden,2,1,0,1994
11,Japan,1,2,2,1994
12,Kazakhstan,1,2,0,1994
13,Ukraine,1,0,1,1994
14,Uzbekistan,1,0,0,1994
15,Belarus,0,2,0,1994
16,Finland,0,1,5,1994
17,France,0,1,4,1994
18,Netherlands,0,1,3,1994
19,China,0,1,2,1994
20,Slovenia,0,0,3,1994
21,Great Britain,0,0,2,1994
22,Australia,0,0,1,1994
Totals (22 entries),61,61,61,183,1994
1,Germany,12,9,8,1998
2,Norway,10,10,5,1998
3,Russia,9,6,3,1998
4,Canada,6,5,4,1998
5,United States,6,3,4,1998
6,Netherlands,5,4,2,1998
7,Japan,5,1,4,1998
8,Austria,3,5,9,1998
9,South Korea,3,1,2,1998
10,Italy,2,6,2,1998
11,Finland,2,4,6,1998
12,Switzerland,2,2,3,1998
13,France,2,1,5,1998
14,Czech Republic,1,1,1,1998
15,Bulgaria,1,0,0,1998
16,China,0,6,2,1998
17,Sweden,0,2,1,1998
18,Denmark,0,1,0,1998
Ukraine,0,1,0,1,1998
20,Belarus,0,0,2,1998
Kazakhstan,0,0,2,2,1998
22,Australia,0,0,1,1998
Belgium,0,0,1,1,1998
Great Britain,0,0,1,1,1998
Totals (24 entries),69,68,68,205,1998
1,Norway‡,13,5,7,2002
2,Germany,12,16,8,2002
3,United States,10,13,11,2002
4,Canada,7,3,7,2002
5,Russia,5,4,4,2002
6,France,4,5,2,2002
7,Italy,4,4,5,2002
8,Finland,4,2,1,2002
9,Netherlands,3,5,0,2002
10,Austria,3,4,10,2002
11,Switzerland,3,2,6,2002
12,Croatia,3,1,0,2002
13,China,2,2,4,2002
14,South Korea,2,2,0,2002
15,Australia,2,0,0,2002
16,Czech Republic,1,2,0,2002
17,Estonia,1,1,1,2002
18,Great Britain,1,0,1,2002
19,Sweden,0,2,5,2002
20,Bulgaria,0,1,2,2002
21,Japan,0,1,1,2002
Poland,0,1,1,2,2002
23,Belarus,0,0,1,2002
Slovenia,0,0,1,1,2002
Totals (24 entries),80,76,78,234,2002
1,Germany,11,12,6,2006
2,United States,9,9,7,2006
3,Austria,9,7,7,2006
4,Russia,8,6,8,2006
5,Canada,7,10,7,2006
6,Sweden,7,2,5,2006
7,South Korea,6,3,2,2006
8,Switzerland,5,4,5,2006
9,Italy,5,0,6,2006
10,France,3,2,4,2006
Netherlands,3,2,4,9,2006
12,Estonia,3,0,0,2006
13,Norway,2,8,9,2006
14,China,2,4,5,2006
15,Czech Republic,1,2,1,2006
16,Croatia,1,2,0,2006
17,Australia,1,0,1,2006
18,Japan,1,0,0,2006
19,Finland,0,6,3,2006
20,Poland,0,1,1,2006
21,Belarus,0,1,0,2006
Bulgaria,0,1,0,1,2006
Great Britain,0,1,0,1,2006
Slovakia,0,1,0,1,2006
25,Ukraine,0,0,2,2006
26,Latvia,0,0,1,2006
Totals (26 entries),84,84,84,252,2006
1,Canada,14,7,5,2010
2,Germany,10,13,7,2010
3,United States,9,15,13,2010
4,Norway,9,8,6,2010
5,South Korea,6,6,2,2010
6,Switzerland,6,0,3,2010
7,Sweden,5,2,5,2010
8,China,5,2,4,2010
9,Austria,4,6,7,2010
10,Netherlands,4,1,3,2010
11,France,3,2,6,2010
12,Russia,2,5,6,2010
13,Australia,2,1,0,2010
14,Czech Republic,2,0,4,2010
15,Poland,1,3,2,2010
16,Slovakia,1,2,0,2010
17,Italy,1,1,3,2010
18,Belarus,1,1,1,2010
19,Great Britain,1,0,0,2010
20,Japan,0,3,2,2010
21,Croatia,0,2,1,2010
Slovenia,0,2,1,3,2010
23,Latvia,0,2,0,2010
24,Finland,0,1,4,2010
25,Estonia,0,1,0,2010
Kazakhstan,0,1,0,1,2010
Totals (26 entries),86,87,85,258,2010
1,Norway,11,6,10,2014
2,Russia‡,10,10,9,2014
3,Canada,10,10,5,2014
4,United States‡,9,9,10,2014
5,Germany,9,5,5,2014
6,Netherlands,8,7,9,2014
7,Switzerland‡,7,2,2,2014
8,Belarus,5,0,1,2014
9,Austria,4,9,4,2014
10,France,4,4,7,2014
11,Poland,4,1,1,2014
12,China,3,4,2,2014
13,South Korea,3,3,2,2014
14,Sweden,2,7,6,2014
15,Czech Republic,2,4,3,2014
16,Slovenia,2,2,4,2014
17,Japan,1,4,3,2014
18,Finland,1,3,1,2014
19,Great Britain‡,1,1,3,2014
Latvia‡,1,1,3,5,2014
21,Ukraine,1,0,1,2014
22,Slovakia,1,0,0,2014
23,Italy,0,2,6,2014
24,Australia,0,2,1,2014
25,Croatia,0,1,0,2014
26,Kazakhstan,0,0,1,2014
Totals (26 entries),99,97,99,295,2014
1,Norway,14,14,11,2018
2,Germany,14,10,7,2018
3,Canada,11,8,10,2018
4,United States,9,8,6,2018
5,Netherlands,8,6,6,2018
6,Sweden,7,6,1,2018
7,South Korea,5,8,4,2018
8,Switzerland,5,6,4,2018
9,France,5,4,6,2018
10,Austria,5,3,6,2018
11,Japan,4,5,4,2018
12,Italy,3,2,5,2018
13,Olympic Athletes from Russia,2,6,9,2018
14,Czech Republic,2,2,3,2018
15,Belarus,2,1,0,2018
16,China,1,6,2,2018
17,Slovakia,1,2,0,2018
18,Finland,1,1,4,2018
19,Great Britain,1,0,4,2018
20,Poland,1,0,1,2018
21,Hungary,1,0,0,2018
Ukraine,1,0,0,1,2018
23,Australia,0,2,1,2018
24,Slovenia,0,1,1,2018
25,Belgium,0,1,0,2018
26,New Zealand,0,0,2,2018
Spain,0,0,2,2,2018
28,Kazakhstan,0,0,1,2018
Latvia,0,0,1,1,2018
Liechtenstein,0,0,1,1,2018
Totals (30 entries),103,102,102,307,2018
1,Norway,16,8,13,2022
2,Germany,12,10,5,2022
3,United States‡,9,9,7,2022
4,China,9,4,2,2022
5,Sweden,8,5,5,2022
6,Netherlands,8,5,4,2022
7,Austria,7,7,4,2022
8,Switzerland,7,2,6,2022
9,ROC‡,5,12,15,2022
10,France,5,7,2,2022
11,Canada,4,8,14,2022
12,Japan‡,3,7,8,2022
13,Italy,2,7,8,2022
14,South Korea,2,5,2,2022
15,Slovenia,2,3,2,2022
16,Finland,2,2,4,2022
17,New Zealand,2,1,0,2022
18,Australia,1,2,1,2022
19,Great Britain,1,1,0,2022
20,Hungary,1,0,2,2022
21,Belgium,1,0,1,2022
Czech Republic,1,0,1,2,2022
Slovakia,1,0,1,2,2022
24,Belarus,0,2,0,2022
25,Spain,0,1,0,2022
Ukraine,0,1,0,1,2022
27,Estonia,0,0,1,2022
Latvia,0,0,1,1,2022
Poland,0,0,1,1,2022
Totals (29 entries),109,109,110,328,2022
1,Norway,18,12,11,2026
2,United States,12,12,9,2026
3,Netherlands,10,7,3,2026
4,Italy,10,6,14,2026
5,Germany,8,10,8,2026
6,France,8,9,6,2026
7,Sweden,8,6,4,2026
8,Switzerland,6,9,8,2026
9,Austria,5,8,5,2026
10,Japan,5,7,12,2026
11,Canada,5,7,9,2026
12,China,5,4,6,2026
13,South Korea,3,4,3,2026
14,Australia,3,2,1,2026
15,Great Britain,3,1,1,2026
16,Czech Republic,2,2,1,2026
17,Slovenia,2,1,1,2026
18,Spain,1,0,2,2026
19,Brazil,1,0,0,2026
Kazakhstan,1,0,0,1,2026
21,Poland,0,3,1,2026
22,New Zealand,0,2,1,2026
23,Finland,0,1,5,2026
24,Latvia,0,1,1,2026
25,Denmark,0,1,0,2026
Estonia,0,1,0,1,2026
Georgia,0,1,0,1,2026
–,Individual Neutral Athletes,0,1,0,2026
28,Bulgaria,0,0,2,2026
29,Belgium,0,0,1,2026
Totals (29 entries),116,118,115,349,2026
